#Genus	Species	Strain	NCBI accession	Cluster number	BGC type	From	To	On contig edge	Fast mode only	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Burkholderia	glumae	PG1	NZ_CP002581.1	22	blactam	3465754	3487245	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000835205/22	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000835205/cluster/22
Dickeya	chrysanthemi	NCPPB 516	NZ_CM001904.1	2	blactam	238828	260340	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000406065/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000406065/cluster/2
Dickeya	chrysanthemi	NCPPB 3533	NZ_CM001981.1	2	blactam	239206	260718	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000406245/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000406245/cluster/2
Providencia	rettgeri	RB151	NZ_CP017671.1	2	blactam	2960899	2982405	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001874625/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001874625/cluster/2
Saccharomonospora	viridis	DSM 43017	NC_013159.1	6	blactam-t2pks hybrid	3611230	3687486	False	False	Clavulanicacid	62	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000023865/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000023865/cluster/6
Streptomyces	clavuligerus	F613-1	NZ_CP016559.1	16	blactam-nrps hybrid	1997113	2057025	False	False	Clavulanicacid	75	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001693675/16	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001693675/cluster/16
Streptomyces	clavuligerus	F613-1	NZ_CP016559.1	18	blactam	3437137	3458112	False	False	Clavams	81	BGC0000843_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001693675/18	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001693675/cluster/18
Streptomyces	clavuligerus	F613-1	NZ_CP016560.1	30	blactam	401850	423434	False	False	Alanylclavam	100	BGC0000841_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001693675/30	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001693675/cluster/30
Kitasatospora	aureofaciens	DM-1	NZ_CP020567.1	24	blactam	6101029	6124618	False	False	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_002082605/24	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002082605/cluster/24
Photorhabdus	laumondii	TTO1	NC_005126.1	2	blactam	182435	203941	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000196155/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000196155/cluster/2
Streptomyces	cattleya	NRRL 8057	NC_016113.1	33	blactam	906778	928155	False	False	Thienamycin	60	BGC0000847_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000237305/33	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000237305/cluster/33
Anoxybacillus	flavithermus	WK1	NC_011567.1	1	blactam	220243	241770	False	False	Clavulanicacid	12	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000019045/1	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000019045/cluster/1
Anoxybacillus	flavithermus	52-1A	NZ_CP020815.1	1	blactam	291730	313257	False	False	Clavulanicacid	12	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_002243705/1	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002243705/cluster/1
Burkholderia	plantarii	ATCC 43733	NZ_CP007213.1	22	blactam	3481452	3502943	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001411805/22	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001411805/cluster/22
Plantactinospora	Unclassified	KBS50	NZ_CP022961.1	15	blactam-nrps-t1pks hybrid	4107287	4310395	False	False	Versipelostatin	31	BGC0001204_c1	https://antismash-db.secondarymetabolites.org/go/GCF_002285795/15	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002285795/cluster/15
Kitasatospora	albolonga	YIM 101047	NZ_CP020563.1	20	blactam	4332809	4357534	False	False	Clavulanicacid	29	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_002082585/20	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002082585/cluster/20
Serratia	Unclassified	ATCC 39006	NZ_CP025084.1	3	blactam	2129067	2150573	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000463345/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000463345/cluster/3
Dickeya	dadantii	NCPPB 2976	NZ_CM001978.1	6	blactam	4347142	4368651	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000406185/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000406185/cluster/6
Dickeya	zeae	CSL RW192	NZ_CM001972.1	6	blactam	4280568	4302080	False	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000406045/6	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000406045/cluster/6
